X,Y,OBJECTID,PARKINGMID,ASSETID,ASSETCODE,OWNER,INSTYR,INSTYRCONF,MAT,MATCONF,LOCGEN,ACCESSIBLE,DURATION,FDMID,PARTNER,ASSETSTAT,INSTDATE,LOCATION,MAINTBY,LEGACYID,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.566441531257652,44.665321286418461,59741,PKM7572,PKM7572,PKM,Halifax,,,,,Right-of-Way,,90,200002703,,In Service,,,Halifax,12A,,2016-10-07T14:04:57.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.583380699650931,44.643737246944958,59742,PKM7603,PKM7603,PKM,Halifax,,,,,Right-of-Way,,300,300001678,,In Service,,,Halifax,74,,2016-10-07T13:34:22.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.584063326740392,44.642495566350576,59743,PKM7633,PKM7633,PKM,Halifax,,,,,Right-of-Way,,300,700004779,,In Service,,,Halifax,30A,,2016-10-07T13:33:44.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.588520489600775,44.636829801763966,59744,PKM7692,PKM7692,PKM,Halifax,,,,,Right-of-Way,,180,300002129,,In Service,,,Halifax,3,,2016-10-07T13:50:08.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.574904070865841,44.647440523815071,59745,PKM7727,PKM7727,PKM,Halifax,,,,,Right-of-Way,,90,300001448,,In Service,,,Halifax,23A,,2016-10-07T12:46:38.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.574362254697164,44.643800159595123,59746,PKM7761,PKM7761,PKM,Halifax,,,,,Right-of-Way,,90,300001669,,In Service,,,Halifax,1,,2016-10-07T13:14:50.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.567198237917033,44.665929523371481,59747,PKM7787,PKM7787,PKM,Halifax,,,,,Right-of-Way,,90,200002704,,In Service,,,Halifax,7A,,2016-10-07T14:02:53.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.582148790494472,44.644042010876746,59748,PKM7819,PKM7819,PKM,Halifax,,,,,Right-of-Way,,300,300001678,,In Service,,,Halifax,44,,2016-10-07T13:34:22.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.575919441123055,44.645214162416849,59749,PKM8129,PKM8129,PKM,Halifax,,,,,Right-of-Way,,120,300001634,,In Service,,,Halifax,19,,2016-10-07T13:18:18.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.582855911946787,44.639014114036627,59750,PKM7993,PKM7993,PKM,Halifax,,,,,Right-of-Way,,120,700004861,,In Service,,,Halifax,25A,,2016-10-07T13:28:51.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.582864900489511,44.640614717418593,59751,PKM8606,PKM8606,PKM,Halifax,,,,,Right-of-Way,,120,700006008,,In Service,,,Halifax,13B,,2016-10-07T13:30:39.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.578180679457923,44.641563100733933,59752,PKM8603,PKM8603,PKM,Halifax,,,,,Right-of-Way,,90,300001842,,In Service,,,Halifax,3A,,2016-10-07T13:23:59.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.578160023596283,44.641521536383252,59753,PKM8604,PKM8604,PKM,Halifax,,,,,Right-of-Way,,90,300001842,,In Service,,,Halifax,1A,,2016-10-07T13:23:59.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.583005108640748,44.640883666969053,59754,PKM8605,PKM8605,PKM,Halifax,,,,,Right-of-Way,,120,700006008,,In Service,,,Halifax,19A,,2016-10-07T13:30:39.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.582541358765205,44.639995009383078,59755,PKM8608,PKM8608,PKM,Halifax,,,,,Right-of-Way,,120,700006003,,In Service,,,Halifax,9B,,2016-10-07T13:29:18.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.584180248762827,44.63984552591873,59756,PKM8609,PKM8609,PKM,Halifax,,,,,Right-of-Way,,120,300001954,,In Service,,,Halifax,42B,,2016-10-07T13:37:19.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
